"epoch","PSPNet - _step","PSPNet - _step__MIN","PSPNet - _step__MAX","PSPNet - val_acc","PSPNet - val_acc__MIN","PSPNet - val_acc__MAX","FPN - _step","FPN - _step__MIN","FPN - _step__MAX","FPN - val_acc","FPN - val_acc__MIN","FPN - val_acc__MAX","Linknet - _step","Linknet - _step__MIN","Linknet - _step__MAX","Linknet - val_acc","Linknet - val_acc__MIN","Linknet - val_acc__MAX","MAnet - _step","MAnet - _step__MIN","MAnet - _step__MAX","MAnet - val_acc","MAnet - val_acc__MIN","MAnet - val_acc__MAX","PAN - _step","PAN - _step__MIN","PAN - _step__MAX","PAN - val_acc","PAN - val_acc__MIN","PAN - val_acc__MAX","UnetPlusPlus - _step","UnetPlusPlus - _step__MIN","UnetPlusPlus - _step__MAX","UnetPlusPlus - val_acc","UnetPlusPlus - val_acc__MIN","UnetPlusPlus - val_acc__MAX","Unet - _step","Unet - _step__MIN","Unet - _step__MAX","Unet - val_acc","Unet - val_acc__MIN","Unet - val_acc__MAX","DeepLabV3Plus - _step","DeepLabV3Plus - _step__MIN","DeepLabV3Plus - _step__MAX","DeepLabV3Plus - val_acc","DeepLabV3Plus - val_acc__MIN","DeepLabV3Plus - val_acc__MAX","DeepLabV3 - _step","DeepLabV3 - _step__MIN","DeepLabV3 - _step__MAX","DeepLabV3 - val_acc","DeepLabV3 - val_acc__MIN","DeepLabV3 - val_acc__MAX"
"0","1","1","1","0.8111765384674072","0.8111765384674072","0.8111765384674072","1","1","1","0.8815912008285522","0.8815912008285522","0.8815912008285522","1","1","1","0.5532652139663696","0.5532652139663696","0.5532652139663696","1","1","1","0.8472089171409607","0.8472089171409607","0.8472089171409607","1","1","1","0.8018540740013123","0.8018540740013123","0.8018540740013123","1","1","1","0.8610122203826904","0.8610122203826904","0.8610122203826904","1","1","1","0.875007152557373","0.875007152557373","0.875007152557373","1","1","1","0.8453408479690552","0.8453408479690552","0.8453408479690552","13.5","1","26","0.8316436409950256","0.8177453875541687","0.8455418944358826"
"1","4","4","4","0.8418828248977661","0.8418828248977661","0.8418828248977661","4","4","4","0.8900671601295471","0.8900671601295471","0.8900671601295471","4","4","4","0.6282404065132141","0.6282404065132141","0.6282404065132141","4","4","4","0.8893979787826538","0.8893979787826538","0.8893979787826538","4","4","4","0.8393892645835876","0.8393892645835876","0.8393892645835876","4","4","4","0.889267086982727","0.889267086982727","0.889267086982727","4","4","4","0.8856560587882996","0.8856560587882996","0.8856560587882996","4","4","4","0.8570822477340698","0.8570822477340698","0.8570822477340698","16.5","4","29","0.8519038259983063","0.8381052017211914","0.8657024502754211"
"2","6","6","6","0.8598612546920776","0.8598612546920776","0.8598612546920776","6","6","6","0.8950742483139038","0.8950742483139038","0.8950742483139038","6","6","6","0.6614314913749695","0.6614314913749695","0.6614314913749695","6","6","6","0.8915399312973022","0.8915399312973022","0.8915399312973022","6","6","6","0.8583927154541016","0.8583927154541016","0.8583927154541016","6","6","6","0.8969505429267883","0.8969505429267883","0.8969505429267883","6","6","6","0.8971605896949768","0.8971605896949768","0.8971605896949768","6","6","6","0.8756046295166016","0.8756046295166016","0.8756046295166016","18.5","6","31","0.8606427907943726","0.8406561017036438","0.8806294798851013"
"3","9","9","9","0.8654570579528809","0.8654570579528809","0.8654570579528809","9","9","9","0.8938531279563904","0.8938531279563904","0.8938531279563904","9","9","9","0.6798467636108398","0.6798467636108398","0.6798467636108398","9","9","9","0.8977808952331543","0.8977808952331543","0.8977808952331543","9","9","9","0.8667299151420593","0.8667299151420593","0.8667299151420593","9","9","9","0.9082009196281433","0.9082009196281433","0.9082009196281433","9","9","9","0.9027339816093445","0.9027339816093445","0.9027339816093445","9","9","9","0.8840395212173462","0.8840395212173462","0.8840395212173462","21.5","9","34","0.8585764169692993","0.8338761329650879","0.8832767009735107"
"4","11","11","11","0.8665774464607239","0.8665774464607239","0.8665774464607239","11","11","11","0.8970342874526978","0.8970342874526978","0.8970342874526978","11","11","11","0.6894299387931824","0.6894299387931824","0.6894299387931824","11","11","11","0.9047753214836121","0.9047753214836121","0.9047753214836121","11","11","11","0.8734704852104187","0.8734704852104187","0.8734704852104187","11","11","11","0.9057998657226562","0.9057998657226562","0.9057998657226562","11","11","11","0.903505802154541","0.903505802154541","0.903505802154541","11","11","11","0.8873990774154663","0.8873990774154663","0.8873990774154663","23.5","11","36","0.8695933222770691","0.8502364754676819","0.8889501690864563"
"5","14","14","14","0.8721416592597961","0.8721416592597961","0.8721416592597961","14","14","14","0.8981644511222839","0.8981644511222839","0.8981644511222839","14","14","14","0.6959401965141296","0.6959401965141296","0.6959401965141296","14","14","14","0.9054765105247498","0.9054765105247498","0.9054765105247498","14","14","14","0.8728204965591431","0.8728204965591431","0.8728204965591431","14","14","14","0.9104215502738953","0.9104215502738953","0.9104215502738953","14","14","14","0.9062213897705078","0.9062213897705078","0.9062213897705078","14","14","14","0.8919832110404968","0.8919832110404968","0.8919832110404968","26.5","14","39","0.8748396933078766","0.8557526469230652","0.893926739692688"
"6","16","16","16","0.8720870614051819","0.8720870614051819","0.8720870614051819","16","16","16","0.8997254371643066","0.8997254371643066","0.8997254371643066","16","16","16","0.7614288330078125","0.7614288330078125","0.7614288330078125","16","16","16","0.9079766273498535","0.9079766273498535","0.9079766273498535","16","16","16","0.8776775002479553","0.8776775002479553","0.8776775002479553","16","16","16","0.9136815071105957","0.9136815071105957","0.9136815071105957","16","16","16","0.9143591523170471","0.9143591523170471","0.9143591523170471","16","16","16","0.8897536396980286","0.8897536396980286","0.8897536396980286","16","16","16","0.8614409565925598","0.8614409565925598","0.8614409565925598"
"7","19","19","19","0.8760275840759277","0.8760275840759277","0.8760275840759277","19","19","19","0.8993449807167053","0.8993449807167053","0.8993449807167053","19","19","19","0.7750826478004456","0.7750826478004456","0.7750826478004456","19","19","19","0.908271312713623","0.908271312713623","0.908271312713623","19","19","19","0.8797322511672974","0.8797322511672974","0.8797322511672974","19","19","19","0.9129276275634766","0.9129276275634766","0.9129276275634766","19","19","19","0.9081548452377319","0.9081548452377319","0.9081548452377319","19","19","19","0.8920716643333435","0.8920716643333435","0.8920716643333435","19","19","19","0.8708277344703674","0.8708277344703674","0.8708277344703674"
"8","22","22","22","0.8748974204063416","0.8748974204063416","0.8748974204063416","22","22","22","0.8984329700469971","0.8984329700469971","0.8984329700469971","22","22","22","0.7914140820503235","0.7914140820503235","0.7914140820503235","22","22","22","0.9077579975128174","0.9077579975128174","0.9077579975128174","22","22","22","0.8816748261451721","0.8816748261451721","0.8816748261451721","22","22","22","0.9161412119865417","0.9161412119865417","0.9161412119865417","22","22","22","0.9144870638847351","0.9144870638847351","0.9144870638847351","22","22","22","0.8934650421142578","0.8934650421142578","0.8934650421142578","22","22","22","0.8786218762397766","0.8786218762397766","0.8786218762397766"
"9","24","24","24","0.8665449023246765","0.8665449023246765","0.8665449023246765","24","24","24","0.8989791870117188","0.8989791870117188","0.8989791870117188","24","24","24","0.8058301210403442","0.8058301210403442","0.8058301210403442","24","24","24","0.9106586575508118","0.9106586575508118","0.9106586575508118","24","24","24","0.8807992339134216","0.8807992339134216","0.8807992339134216","24","24","24","0.9150607585906982","0.9150607585906982","0.9150607585906982","24","24","24","0.917466402053833","0.917466402053833","0.917466402053833","24","24","24","0.8999514579772949","0.8999514579772949","0.8999514579772949","24","24","24","0.8746748566627502","0.8746748566627502","0.8746748566627502"
