"Step","no_normalize - train_acc","no_normalize - train_acc__MIN","no_normalize - train_acc__MAX","normalize - train_acc","normalize - train_acc__MIN","normalize - train_acc__MAX"
"0","0.7981269359588623","0.7981269359588623","0.7981269359588623","0.8521686792373657","0.8521686792373657","0.8521686792373657"
"2","0.821715235710144","0.821715235710144","0.821715235710144","0.8678447008132935","0.8678447008132935","0.8678447008132935"
"3","0.8083683252334595","0.8083683252334595","0.8083683252334595","0.8918977975845337","0.8918977975845337","0.8918977975845337"
"5","0.836767315864563","0.836767315864563","0.836767315864563","0.912909984588623","0.912909984588623","0.912909984588623"
"7","0.8337903022766113","0.8337903022766113","0.8337903022766113","0.9195548295974731","0.9195548295974731","0.9195548295974731"
"8","0.8287489414215088","0.8287489414215088","0.8287489414215088","0.8983892202377319","0.8983892202377319","0.8983892202377319"
"10","0.826789140701294","0.826789140701294","0.826789140701294","0.9101041555404663","0.9101041555404663","0.9101041555404663"
"12","0.8276886940002441","0.8276886940002441","0.8276886940002441","0.8999854326248169","0.8999854326248169","0.8999854326248169"
"13","0.8527282476425171","0.8527282476425171","0.8527282476425171","0.9200654029846191","0.9200654029846191","0.9200654029846191"
"15","0.8319292068481445","0.8319292068481445","0.8319292068481445","0.9126598834991455","0.9126598834991455","0.9126598834991455"
"17","0.8770627975463867","0.8770627975463867","0.8770627975463867","0.9265477657318115","0.9265477657318115","0.9265477657318115"
"18","0.8571485280990601","0.8571485280990601","0.8571485280990601","0.9055765867233276","0.9055765867233276","0.9055765867233276"
"20","0.8705369234085083","0.8705369234085083","0.8705369234085083","0.912272572517395","0.912272572517395","0.912272572517395"
"21","0.8225935697555542","0.8225935697555542","0.8225935697555542","0.9125241041183472","0.9125241041183472","0.9125241041183472"
"23","0.8368873596191406","0.8368873596191406","0.8368873596191406","0.923157811164856","0.923157811164856","0.923157811164856"
"25","0.8740336894989014","0.8740336894989014","0.8740336894989014","0.9116988182067871","0.9116988182067871","0.9116988182067871"
"26","0.8492906093597412","0.8492906093597412","0.8492906093597412","0.9265888929367065","0.9265888929367065","0.9265888929367065"
"28","0.8693883419036865","0.8693883419036865","0.8693883419036865","0.9184925556182861","0.9184925556182861","0.9184925556182861"
"30","0.8819968700408936","0.8819968700408936","0.8819968700408936","0.9158297777175903","0.9158297777175903","0.9158297777175903"
"31","0.8617968559265137","0.8617968559265137","0.8617968559265137","0.9258382320404053","0.9258382320404053","0.9258382320404053"
"33","0.8763625621795654","0.8763625621795654","0.8763625621795654","0.9037265777587891","0.9037265777587891","0.9037265777587891"
"35","0.8640669584274292","0.8640669584274292","0.8640669584274292","0.9189331531524658","0.9189331531524658","0.9189331531524658"
"36","0.8883960247039795","0.8883960247039795","0.8883960247039795","0.9153307676315308","0.9153307676315308","0.9153307676315308"
"38","0.8622992038726807","0.8622992038726807","0.8622992038726807","0.9133453369140625","0.9133453369140625","0.9133453369140625"
"40","0.8584729433059692","0.8584729433059692","0.8584729433059692","0.9242769479751587","0.9242769479751587","0.9242769479751587"
"41","0.8716342449188232","0.8716342449188232","0.8716342449188232","0.9242162704467773","0.9242162704467773","0.9242162704467773"
"43","0.8744829893112183","0.8744829893112183","0.8744829893112183","0.9218126535415649","0.9218126535415649","0.9218126535415649"
"44","0.8627097606658936","0.8627097606658936","0.8627097606658936","0.9134247303009033","0.9134247303009033","0.9134247303009033"
"46","0.8656255006790161","0.8656255006790161","0.8656255006790161","0.927788257598877","0.927788257598877","0.927788257598877"
"48","0.8186472654342651","0.8186472654342651","0.8186472654342651","0.9270724058151245","0.9270724058151245","0.9270724058151245"
"49","0.873715877532959","0.873715877532959","0.873715877532959","0.9202433824539185","0.9202433824539185","0.9202433824539185"
