image,mask
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0002.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0002.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0003.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0003.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0005.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0005.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0006.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0006.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0007.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0007.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0008.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0008.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0009.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0009.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0010.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0010.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0012.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0012.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0013.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0013.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0014.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0014.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0015.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0015.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0017.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0017.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0018.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0018.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0020.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0020.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0022.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0022.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0023.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0023.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0024.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0024.tif
/data/sentinel2/2021_seasons/Belgium_summer2021/images/Belgium_image_tile_0025.tif,/data/sentinel2/2021_seasons/Belgium_summer2021/masks/Belgium_mask_tile_0025.tif
